Transect,day,month,year,hour,min,long,lat,long_1,lat_1,INIT,y,y_1,y_2,y_3,m,m_1,d,d_1,SeqNum,X21,X22,X23
1,1,5,18,14,33,-092 00.541,30 18.367, , , , , , , , , , , , ,0,AAA, 
2,1,5,18,14,38,-092 00.547,30 18.433,-092 00.592,30 18.439, , , , , , , , , , ,0,AAA, 
3,1,5,18,14,49,-092 00.648,30 18.447,-092 00.649,30 18.413, , , , , , , , , , ,0,AAA, 
4,1,5,18,15,4,-092 00.873,30 18.465, , , , , , , , , , , , ,0,AAA, 
5,1,5,18,15,16,-092 00.881,30 18.406,-092 00.840,30 18.443, , , , , , , , , , ,0,AAA, 
6,1,5,18,15,28,-092 00.901,30 18.299, , , , , , , , , , , , ,0,AAA, 
7,1,5,18,15,40,-092 00.729,30 18.281,-092 00.761,30 18.315, , , , , , , , , , ,0,AAA, 
8,2,5,18,8,21,-092 08.017,29 51.767,-092 08.017,29 51.307, , , , , , , , , , ,0,AAA, 
9,2,5,18,8,28,-092 08.938,29 51.762,-092 08.980,29 51.740, , , , , , , , , , ,0,AAA, 
10,2,5,18,8,39,-092 09.042,29 09.042,-092 09.052,29 51.831, , , , , , , , , , ,0,AAA, 
11,2,5,18,9,4,-092 09.022,29 51.659,-092 09.021,29 51.706, , , , , , , , , , ,0,AAA, 
12,2,5,18,9,15,-092 08.882,29 51.783,-092 08.931,29 51.778, , , , , , , , , , ,0,AAA, 
13,2,5,18,11,43,-092 16.121,30 49.125,-092 16.084,30 49.081, , , , , , , , , , ,0,AAA, 
14,2,5,18,11,56,-092 16.113,30 49.136,-092 16.124,30 49.188, , , , , , , , , , ,0,AAA, 
15,2,5,18,12,3,-092 16.071,30 49.089,-092 16.034,30 49.061, , , , , , , , , , ,0,AAA, 
16,2,5,18,12,13,-092 16.043,30 49.062,-092 16.052,30 49.045, , , , , , , , , , ,0,AAA, 
17,2,5,18,12,24,-092 16.993,30 49.088, , , , , , , , , , , , ,0,AAA, 
18,2,5,18,12,38,-092 16.048,30 49.315,-092 16.048,30 49.265, , , , , , , , , , ,0,AAA, 
19,2,5,18,13,1,-092 16.065,30 49.615,-092 16.072,30 49.570, , , , , , , , , , ,0,AAA, 
20,2,5,18,13,10,-092 16.098,30 49.489,-092 16.090,30 49.431, , , , , , , , , , ,0,AAA, 
21,2,5,18,14,55,-092 59.031,30 15.418,-091 59.060,30 15.505, , , , , , , , , , ,0,AAA, 
22,2,5,18, , ,-091 59.059,30 15.504,-091 59.041,30 15.458, , , , , , , , , , ,0,AAA, 
23,2,5,18,16,20,-091 47.279,30 20.669,-091 47.282,30 20.721, , , , , , , , , , ,0,AAA, 
24,2,5,18,16,29,-091 47.285,30 20.579,-091 47.290,30 20.527, , , , , , , , , , ,0,AAA, 
25,3,5,18,8,11,-091 47.499,30 21.891,-091 47.510,30 21.941, , , , , , , , , , ,0,AAA, 
26,3,5,18,8, ,-091 47.493,30 21.880,-091 47.485,30 21.826, , , , , , , , , , ,0,AAA, 
27,3,5,18,8,36,-091 47.504,30 21.949, , , , , , , , , , , , ,0,AAA, 
28,3,5,18,8,46,-091 47.470,30 21.914,-091 47.493,30 21.954, , , , , , , , , , ,0,AAA, 
29,3,5,18,9,43,-091 59.669,30 15.597,-091 59.624,30 15.573, , , , , , , , , , ,0,AAA, 
30,3,5,18,9,55,-091 59.620,30 15.581,-091 59.556,30 15.577, , , , , , , , , , ,0,AAA, 
31,3,5,18,10,11,-091 59.154,30 15.559,-091 59.092,30 15.560, , , , , , , , , , ,0,AAA, 
32,3,5,18,10,26,-091 59.072,30 15.545,-091 59.091,30 15.595, , , , , , , , , , ,0,AAA, 
33,3,5,18,12,18,-092 17.054,30 48.538,-092 17.023,30 48.505,AAA,2,0,1,8,0,5,0,3,1,3,AAA, 
34,3,5,18,13,0,-092 17.081,30 48.636,-092 17.048,30 48.681, , , , , , , , , , ,0,AAA, 
35,3,5,18,13,12,-092 17.143,30 48.762,-092 17.190,30 48.734, , , , , , , , , , ,0,AAA, 
36,3,5,18,16,6,-092 08.790,29 51.824,-092 08.833,29 51.856, , , , , , , , , , ,0,AAA, 
37,4,5,18,8,8,-091 47.255,30 20.653,-091 47.249,30 20.705, , , , , , , , , , ,0,AAA, 
38,4,5,18,8,24,-091 47.291,30 20.836,-091 20.786,30 20.786, , , , , , , , , , ,0,AAA, 
39,4,5,18,9,4,-091 47.411,30 19.557,-091 47.420,30 19.508, , , , , , , , , , ,0,AAA, 
40,4,5,18,9,14,-091 47.397,30 19.407,-091 47.409,30 19.456, , , , , , , , , , ,0,AAA, 
41,4,5,18,9,24,-091 47.393,30 19.314,-091 47.396,30 19.356, , , , , , , , , , ,0,AAA, 
42,4,5,18,9,42,-091 47.358,30 19.049, , , , , , , , , , , , ,0,AAA, 
43,4,5,18,9,54,-091 47.139,30 18.686,-091 47.178,30 18.705, , , , , , , , , , ,0,AAA, 
44,4,5,18,9,57,-091 47.185,30 18.722,-091 47.233,30 18.747, , , , , , , , , , ,0,AAA, 
45,4,5,18,13,23,-092 16.985,30 48.327,-092 16.997,30 48.365, , , , , , , , , , ,0,AAA, 
46,4,5,18,13,45,-092 17.088,30 48.577,-092 17.069,30 48.531,AAA,2,0,1,8,0,5,0,4,2,1,AAA, 
47,4,5,18,14,15,-092 17.131,30 48.752,-092 17.184,30 48.797, , , , , , , , , , ,0,AAA, 
48,4,5,18,14,36,-092 17.280,30 49.008,-092 17.227,30 49.021, , , , , , , , , , ,0,AAA, 
49,4,5,18,14,52,-092 16.881,30 49.050,-092 16.949,30 49.025,AAA,2,0,1,8,0,5,0,4,2,7,AAA,Ticks from this transect were divided into several tubes
49,4,5,18,14,52,-092 16.881,30 49.050,-092 16.949,30 49.025,AAA,2,0,1,8,0,5,0,4,3,1,AAA,Ticks from this transect were divided into several tubes
49,4,5,18,14,52,-092 16.881,30 49.050,-092 16.949,30 49.025,AAA,2,0,1,8,0,5,0,4,4,1,AAA,Ticks from this transect were divided into several tubes
50,7,5,18,9,29,-092 16.932,30 47.423,-092 16.951,30 47.473, , , , , , , , , , ,0,AAA, 
51,7,5,18,9,36,-092 16.996,30 47.436,-092 16.956,30 47.474, , , , , , , , , , ,0,AAA, 
52,7,5,18,10,3,-092 16.877,30 48.286,-092 16.837,30 48.307, , , , , , , , , , ,0,AAA, 
53,7,5,18,10,25,-092 16.510,30 48.374,-092 16.549,30 48.400, , , , , , , , , , ,0,AAA, 
54,7,5,18,10,47,-092 16.511,30 48.733,-092 16.557,30 48.703, , , , , , , , , , ,0,AAA, 
55,7,5,18,11,5,-092 16.577,30 48.425,-092 16.561,30 48.392, , , , , , , , , , ,0,AAA, 
56,7,5,18,11,25,-092 16.679,30 48.089,-092 16.689,30 48.096, , , , , , , , , , ,0,AAA, 
57,7,5,18,11,43,-092 16.678,30 47.839,-092 16.713,30 47.801, , , , , , , , , , ,0,AAA, 
58,7,5,18,12,43,-092 16.585,30 16.008,-092 16.629,30 47.997, , , , , , , , , , ,0,AAA, 
59,7,5,18,13,6,-092 16.660,30 48.261,-092 16.665,30 48.308, , , , , , , , , , ,0,AAA, 
60,7,5,18,13,23,-092 16.929,30 48.310,-092 16.978,30 48.353, , , , , , , , , , ,0,AAA, 
61,7,5,18,14,57,-092 17.169,30 48.810,-092 17.127,30 48.848,AAA,2,0,1,8,0,5,0,7,5,2,AAA,Ticks from this transect where placed in the same tube as those from a transect three records down
62,7,5,18,15,15,-092 17.195,30 49.051,-092 17.135,30 49.073, , , , , , , , , , ,0,AAA, 
63,7,5,18,15,39,-092 16.717,30 48.924,-092 16.731,30 48.966, , , , , , , , , , ,0,AAA, 
64,7,5,18,16,2,-092 17.239,30 49.049,-092 17.285,30 49.060,AAA,2,0,1,8,0,5,0,7,5,2,AAA,"Merged with transect 61, same geographic location"
65,7,5,18,16,21,-092 17.406,30 49.237,-092 17.457,30 49.244, , , , , , , , , , ,0,AAA, 
66,7,5,18,16,37,-092 17.531,30 49.569,-092 17.502,30 49.620, , , , , , , , , , ,0,AAA, 
67,7,5,18,16,53,-092 17.271,30 49.848,-092 17.230,30 49.872, , , , , , , , , , ,0,AAA, 
68,8,5,18,9,11,-091 52.135,30 05.297,-091 52.120,30 05.248, , , , , , , , , , ,0,AAA, 
69,8,5,18,9,20,-091 52.040,30 05.135,-091 52.084,30 05.100, , , , , , , , , , ,0,AAA, 
70,8,5,18,9,28,-091 51.949,30 05.151,-091 51.951,30 05.204,AAA,2,0,1,8,0,5,0,7,6,1,AAA, 
71,8,5,18,9,54,-091 52.212,30 05.202,-091 52.256,30 05.235, , , , , , , , , , ,0,AAA, 
72,8,5,18,10,0,-091 52.267,30 05.244,-091 52.276,30 05.207, , , , , , , , , , ,0,AAA, 
73,8,5,18,10,8,-091 52.280,30 05.194,-091 52.255,30 05.150, , , , , , , , , , ,0,AAA, 
74,8,5,18,10,13,-091 52.278,30 05.095,-091 52.258,30 05.052, , , , , , , , , , ,0,AAA, 
75,8,5,18,10,28,-091 52.261,30 05.021,-091 52.298,30 05.054, , , , , , , , , , ,0,AAA, 
76,8,5,18,10,39,-091 52.119,30 05.245,-091 52.161,30 05.235, , , , , , , , , , ,0,AAA, 
77,8,5,18,10,57,-091 52.202,30 05.360,-091 52.212,30 05.409, , , , , , , , , , ,0,AAA, 
78,8,5,18,11,3,-091 52.233,30 05.427,-091 52.191,30 05.430, , , , , , , , , , ,0,AAA, 
79,8,5,18,11,9,-091 52.218,30 05.475,-091 52.222,30 05.525, , , , , , , , , , ,0,AAA, 
80,8,5,18,11,15,-091 52.191,30 05.619,-091 52.174,30 05.667, , , , , , , , , , ,0,AAA, 
81,8,5,18,12,34,-091 59.042,30 15.534,-091 58.986,30 15.524, , , , , , , , , , ,0,AAA, 
82,8,5,18,12,47,-091 58.937,30 15.515,-091 58.979,30 15.520, , , , , , , , , , ,0,AAA, 
83,8,5,18,13,3,-091 58.968,30 15.585,-091 58.951,30 15.601, , , , , , , , , , ,0,AAA, 
84,8,5,18,13,7,-091 58.920,30 15.643,-091 58.915,30 15.664, , , , , , , , , , ,0,AAA, 
85,8,5,18,13,16,-091 58.888,30 15.709,-091 58.868,30 15.748, , , , , , , , , , ,0,AAA, 
86,8,5,18,13,26,-091 58.939,30 15.787,-091 58.983,30 15.798, , , , , , , , , , ,0,AAA, 
87,8,5,18,13,46,-091 59.179,30 15.811,-091 59.196,30 15.854, , , , , , , , , , ,0,AAA, 
88,8,5,18,13,58,-091 59.309,30 15.809,-091 59.305,30 15.765, , , , , , , , , , ,0,AAA, 
89,8,5,18,14,6,-091 59.405,30 15.713,-091 59.447,30 15.697, , , , , , , , , , ,0,AAA, 
90,8,5,18,14,20,-091 59.634,30 15.610,-091 59.579,30 15.603, , , , , , , , , , ,0,AAA, 
91,8,5,18,14,33,-091 59.328,30 15.612,-091 59.350,30 15.645, , , , , , , , , , ,0,AAA, 
92,8,5,18,14,42,-091 59.287,30 15.589,-091 59.230,30 15.592, , , , , , , , , , ,0,AAA, 
93,8,5,18,15,10,-091 59.092,30 15.592,-091 59.111,30 15.639, , , , , , , , , , ,0,AAA, 
94,8,5,18,15,21,-091 58.969,30 15.586,-091 58.947,30 15.629, , , , , , , , , , ,0,AAA, 
95,8,5,18,15,28,-091 58.959,30 15.700,-091 58.941,30 15.738, , , , , , , , , , ,0,AAA, 
96,8,5,18,15,43,-091 59.223,30 15.808,-091 59.226,30 15.756, , , , , , , , , , ,0,AAA, 
97,9,5,18,9,38,-092 08.994,29 51.871,-092 08.952,29 51.893, , , , , , , , , , ,0,AAA, 
98,9,5,18,9,43,-092 08.931,29 51.901,-092 08.889,29 51.880, , , , , , , , , , ,0,AAA, 
99,9,5,18,9,55,-092 08.849,29 51.806,-092 08.817,29 51.789, , , , , , , , , , ,0,AAA, 
100,9,5,18,10,7,-092 08.926,29 51.775,-092 08.879,29 51.786, , , , , , , , , , ,0,AAA, 
101,9,5,18,10,55,-092 08.449,29 51.598,-092 08.437,29 51.563, , , , , , , , , , ,0,AAA, 
102,9,5,18,11,1,-092 08.385,29 51.587,-092 08.360,29 51.624, , , , , , , , , , ,0,AAA, 
103,9,5,18,11,13,-092 08.376,29 51.616,-092 08.398,29 51.573, , , , , , , , , , ,0,AAA, 
104,9,5,18,11,29,-092 08.435,29 51.661, , , , , , , , , , , , ,0,AAA, 
105,9,5,18,14,9,-091 41.559,30 13.004,-091 41.560,30 13.059, , , , , , , , , , ,0,AAA, 
106,9,5,18,14,17,-091 41.539,30 12.927,-091 41.545,30 12.975, , , , , , , , , , ,0,AAA, 
107,9,5,18,14,26,-091 41.540,30 12.851,-091 41.537,30 12.801, , , , , , , , , , ,0,AAA, 
108,9,5,18,14,40,-091 41.623,30 13.045,-091 41.633,30 12.993, , , , , , , , , , ,0,AAA, 
109,9,5,18,15,11,-091 37.736,30 06.096,-091 37.768,30 06.148, , , , , , , , , , ,0,AAA, 
110,9,5,18,15,26,-091 37.673,30 06.000,-091 37.648,30 05.962, , , , , , , , , , ,0,AAA, 
111,9,5,18,15,34,-091 37.695,30 06.010,-091 37.725,30 06.060, , , , , , , , , , ,0,AAA, 
112,9,5,18,15,47,-091 37.706,30 06.158,-091 37.737,30 06.195, , , , , , , , , , ,0,AAA, 
113,9,5,18,15,58,-091 37.583,30 05.958,-091 37.565,30 05.913, , , , , , , , , , ,0,AAA, 
114,10,5,18,10,43,-092 16.511,30 49.712,-092 16.550,30 49.734, , , , , , , , , , ,0,AAA, 
115,10,5,18,10,57,-092 16.463,30 49.747,-092 16.769,30 49.770, , , , , , , , , , ,0,AAA, 
116,10,5,18,11,7,-092 16.500,30 49.803,-092 16.534,30 49.830, , , , , , , , , , ,0,AAA, 
117,10,5,18,11,13,-092 16.542,30 49.859,-092 16.561,30 49.816, , , , , , , , , , ,0,AAA, 
118,10,5,18,11,21,-092 16.581,30 49.815,-092 16.614,30 49.842, , , , , , , , , , ,0,AAA, 
119,10,5,18,11,27,-092 16.626,30 49.832,-092 16.585,30 49.798, , , , , , , , , , ,0,AAA, 
120,10,5,18,12,1,-092 16.489,30 47.468,-092 16.433,30 47.474, , , , , , , , , , ,0,AAA, 
121,10,5,18,12,17,-092 16.558,30 47.528,-092 16.593,30 47.559, , , , , , , , , , ,0,AAA, 
122,10,5,18,12,24,-092 16.599,30 47.601,-092 16.584,30 47.639, , , , , , , , , , ,0,AAA, 
123,10,5,18,12,33,-092 16.628,30 47.602,-092 16.613,30 47.556,AAA,2,0,1,8,0,5,1,0,7,1,AAA, 
124,10,5,18,12,56,-092 16.133,30 47.470,-092 16.148,30 47.441, , , , , , , , , , ,0,AAA, 
125,10,5,18,13,4,-092 16.114,30 47.527,-092 16.128,30 47.486, , , , , , , , , , ,0,AAA, 
126,10,5,18,13,16,-092 16.057,30 47.182,-092 16.008,30 47.200, , , , , , , , , , ,0,AAA, 
127,10,5,18,13,32,-092 16.085,30 47.177,-092 16.087,30 47.217, , , , , , , , , , ,0,AAA, 
128,10,5,18,13,48,-092 16.218,30 47.383,-092 16.268,30 47.386, , , , , , , , , , ,0,AAA, 
129,10,5,18,13,53,-092 16.275,30 47.399,-092 16.221,30 47.395, , , , , , , , , , ,0,AAA, 
130,10,5,18,13,59,-092 16.201,30 47.356,-092 16.161,30 47.333, , , , , , , , , , ,0,AAA, 
131,10,5,18,14,5,-092 16.181,30 47.340,-092 16.187,30 47.296, , , , , , , , , , ,0,AAA, 
132,10,5,18,14,9,-092 16.193,30 47.315,-092 16.246,30 47.321, , , , , , , , , , ,0,AAA, 
133,10,5,18,14,17,-092 16.143,30 47.357,-092 16.111,30 47.392, , , , , , , , , , ,0,AAA, 
134,10,5,18,14,20,-092 16.113,30 47.392,-092 16.094,30 47.352, , , , , , , , , , ,0,AAA, 
135,10,5,18,14,26,-092 16.048,30 47.355,-092 16.103,30 47.336, , , , , , , , , , ,0,AAA, 
136,10,5,18,14,50,-092 16.154,30 47.477,-092 16.184,30 47.441, , , , , , , , , , ,0,AAA, 
137,10,5,18,15,5,-092 16.203,30 47.424,-092 16.253,30 47.434, , , , , , , , , , ,0,AAA, 
138,10,5,18,15,9,-092 16.268,30 47.429,-092 16.223,30 47.411, , , , , , , , , , ,0,AAA, 
139,10,5,18,15,29,-092 16.291,30 47.457,-092 16.282,30 47.499, , , , , , , , , , ,0,AAA, 
140,10,5,18,15,38,-092 16.232,30 47.473,-092 16.234,30 47.513, , , , , , , , , , ,0,AAA, 
141,10,5,18,15,47,-092 16.276,30 47.556,-092 16.221,30 47.608,AAA,2,0,1,8,0,5,1,0,8,1,AAA, 
142,10,5,18,16,14,-092 16.566,30 47.514,-092 16.544,30 47.470,AAA,2,0,1,8,0,5,1,0,8,1,AAA, 
143,10,5,18,16,17,-092 16.536,30 47.455,-092 16.586,30 47.464, , , , , , , , , , ,0,AAA, 
144,11,5,18,9,48,-091 52.156,30 05.371,-091 52.173,30 05.419, , , , , , , , , , ,0,AAA, 
145,11,5,18,10,5,-091 52.150,30 05.684,-091 52.096,30 05.663, , , , , , , , , , ,0,AAA, 
146,11,5,18,10,14,-091 51.883,30 05.646,-091 51.824,30 05.648, , , , , , , , , , ,0,AAA, 
147,11,5,18,10,23,-091 51.621,30 05.678,-091 51.627,30 05.727, , , , , , , , , , ,0,AAA, 
148,11,5,18,10,29,-091 51.620,30 05.795,-091 51.675,30 05.805, , , , , , , , , , ,0,AAA, 
149,11,5,18,10,35,-091 51.762,30 05.809,-091 51.764,30 05.760, , , , , , , , , , ,0,AAA, 
150,11,5,18,10,43,-091 51.813,30 05.663,-091 51.894,30 05.662, , , , , , , , , , ,0,AAA, 
151,11,5,18,10,48,-091 51.953,30 05.657,-091 51.957,30 05.707, , , , , , , , , , ,0,AAA, 
152,11,5,18,11,8,-091 52.057,30 05.745,-091 52.022,30 05.023, , , , , , , , , , ,0,AAA, 
153,11,5,18,11,13,-091 52.000,30 05.779,-091 52.000,30 05.734, , , , , , , , , , ,0,AAA, 
154,11,5,18,11,25,-091 51.990,30 05.863,-091 51.936,30 05.855, , , , , , , , , , ,0,AAA, 
155,11,5,18,11,33,-091 52.049,30 05.880,-091 52.101,30 05.891, , , , , , , , , , ,0,AAA, 
156,11,5,18,11,43,-091 51.999,30 05.859,-091 51.999,30 05.812, , , , , , , , , , ,0,AAA, 
157,11,5,18,11,50,-091 52.101,30 05.752,-091 52.151,30 05.778, , , , , , , , , , ,0,AAA, 
158,11,5,18,11,55,-091 52.190,30 05.795,-091 52.219,30 05.755, , , , , , , , , , ,0,AAA, 
159,11,5,18,12,1,-091 52.254,30 05.755,-091 52.229,30 05.715, , , , , , , , , , ,0,AAA, 
160,14,5,18,13,46,-092 28.243,31 06.771,-092 28.213,31 06.734, , , , , , , , , , ,0,AAA, 
161,14,5,18,13,52,-092 28.207,31 06.719,-092 28.174,31 06.671, , , , , , , , , , ,0,AAA, 
162,14,5,18,14,0,-092 28.031,31 06.727,-092 27.997,31 06.755, , , , , , , , , , ,0,AAA, 
163,14,5,18,14,7,-092 28.077,31 06.827,-092 28.127,31 06.798, , , , , , , , , , ,0,AAA, 
164,14,5,18,14,47,-092 28.202,31 06.922,-092 28.222,31 06.871, , , , , , , , , , ,0,AAA, 
165,14,5,18,15,3,-092 28.247,31 07.065,-092 28.307,31 07.079,AAA,2,0,1,8,0,5,1,4,9,1,AAA, 
166,14,5,18,15,15,-092 28.352,31 07.108,-092 28.299,31 07.127, , , , , , , , , , ,0,AAA, 
167,14,5,18,15,24,-092 28.327,31 07.263,-092 28.276,31 07.245, , , , , , , , , , ,0,AAA, 
168,14,5,18,15,33,-092 28.186,31 07.381,-092 28.197,31 07.436,AAA,2,0,1,8,0,5,1,4,9,1,AAA, 
169,14,5,18,15,42,-092 28.257,31 07.370,-092 28.222,31 07.416, , , , , , , , , , ,0,AAA, 
170,14,5,18,15,50,-092 28.229,31 07.504,-092 28.195,31 07.471, , , , , , , , , , ,0,AAA, 
171,15,5,18,11,59,-092 00.611,31 27.696,-092 00.615,31 27.742, , , , , , , , , , ,0,AAA, 
172,15,5,18,12,9,-092 00.612,31 27.695,-092 00.565,31 27.701, , , , , , , , , , ,0,AAA, 
173,15,5,18,14,9,-091 59.430,31 20.846,-091 59.377,31 20.828, , , , , , , , , , ,0,AAA, 
174,15,5,18,14,13,-091 59.387,31 20.786,-091 59.347,31 20.755, , , , , , , , , , ,0,AAA, 
175,15,5,18,14,17,-091 59.339,31 20.741,-091 59.397,31 20.749, , , , , , , , , , ,0,AAA, 
176,15,5,18,14,22,-091 59.376,31 20.804,-091 59.421,31 20.830, , , , , , , , , , ,0,AAA, 
177,15,5,18,14,39,body,body,body,body,AAA,2,0,1,8,0,5,1,5,10,2,AAA,1 at home on body
178,15,5,18,14,58,-091 59.830,31 20.308,-091 59.789,31 20.344, , , , , , , , , , ,0,AAA, 
179,15,5,18,15,9,-091 59.663,31 20.449,-091 59.023,31 20.416, , , , , , , , , , ,0,AAA, 
180,15,5,18,15,22,-091 59.707,31 20.404,-091 59.747,31 20.381, , , , , , , , , , ,0,AAA, 
181,15,5,18,15,28,-091 59.826,31 20.367,-091 59.874,31 20.371, , , , , , , , , , ,0,AAA, 
182,16,5,18,13,42,-093 26.361,31 00.804,-093 26.406,31 00.407, , , , , , , , , , ,0,AAA, 
183,16,5,18,13,47,-093 26.349,31 00.799,-093 26.289,31 00.807, , , , , , , , , , ,0,AAA, 
184,16,5,18,13,53,-093 26.357,31 00.799,-093 26.386,31 00.754, , , , , , , , , , ,0,AAA, 
185,16,5,18,13,59,-093 26.352,31 00.703,-093 26.313,31 00.694, , , , , , , , , , ,0,AAA, 
186,16,5,18,14,22,-093 26.103,31 00.605,-093 26.059,31 00.589, , , , , , , , , , ,0,AAA, 
187,16,5,18,14,49,-093 25.441,31 01.375,-093 25.489,31 01.400, , , , , , , , , , ,0,AAA, 
188,16,5,18,14,56,-093 25.432,31 01.346,-093 25.461,31 01.313, , , , , , , , , , ,0,AAA, 
189,16,5,18,15,5,-093 25.432,31 01.388,-093 25.415,31 01.428, , , , , , , , , , ,0,AAA, 
190,16,5,18,15,9,-093 25.411,31 01.422,-093 25.377,31 01.423, , , , , , , , , , ,0,AAA, 
191,16,5,18,15,23,-093 24.966,31 01.273,-093 24.944,31 01.320, , , , , , , , , , ,0,AAA, 
192,16,5,18,15,28,-093 24.964,31 01.360,-093 24.957,31 01.406, , , , , , , , , , ,0,AAA, 
193,16,5,18,15,35,-093 24.967,31 01.265,-093 24.909,31 01.278, , , , , , , , , , ,0,AAA, 
194,16,5,18,15,40,-093 24.911,31 01.275,-093 24.877,31 01.319, , , , , , , , , , ,0,AAA, 
195,16,5,18,15,43,-093 24.877,31 01.320,-093 24.959,31 01.352, , , , , , , , , , ,0,AAA, 
196,17,5,18,11,55,-091 57.633,31 05.521,-091 57.571,31 05.559, , , , , , , , , , ,0,AAA, 
197,17,5,18,12,3,-091 57.564,31 05.552,-091 57.586,31 05.512, , , , , , , , , , ,0,AAA, 
198,17,5,18,12,12,-091 57.497,31 05.505,-091 57.526,31 05.466, , , , , , , , , , ,0,AAA, 
199,17,5,18,12,21,-091 57.395,31 05.401,-091 57.377,31 05.443, , , , , , , , , , ,0,AAA, 
200,17,5,18,13,32,-092 01.360,31 07.178,-092 01.366,31 07.132, , , , , , , , , , ,0,AAA, 
201,17,5,18,13,40,-092 01.349,31 07.122,-092 01.359,31 07.078, , , , , , , , , , ,0,AAA, 
202,17,5,18,13,46,-092 01.386,31 07.092,-092 01.386,31 07.050, , , , , , , , , , ,0,AAA, 
203,17,5,18,13,58,-092 01.376,31 06.923,-092 01.323,31 06.923, , , , , , , , , , ,0,AAA, 
204,17,5,18,14,36,-092 01.306,31 07.254,-092 01.277,31 07.218, , , , , , , , , , ,0,AAA, 
205,17,5,18,15,1,-092 00.725,31 07.242,-092 00.763,31 07.212, , , , , , , , , , ,0,AAA, 
206,17,5,18,15,7,-092 00.786,31 07.225,-092 00.764,31 07.212, , , , , , , , , , ,0,AAA, 
207,17,5,18,15,15,-092 00.759,31 07.171,-092 00.801,31 07.198, , , , , , , , , , ,0,AAA, 
208,19,5,18,9,8,-091 51.950,30 05.151,-091 51.951,30 05.198, , , , , , , , , , ,0,AAA, 
209,19,5,18,9,12,-091 51.951,30 05.198,-091 51.950,30 05.254, , , , , , , , , , ,0,AAA, 
210,19,5,18,9,16,-091 51.950,30 05.254,-091 51.950,30 05.305, , , , , , , , , , ,0,AAA, 
211,19,5,18,9,20,-091 51.950,30 05.305,-091 51.950,30 05.359, , , , , , , , , , ,0,AAA, 
212,19,5,18,9,24,-091 51.948,30 05.370,-091 51.942,30 05.420, , , , , , , , , , ,0,AAA, 
213,19,5,18,9,28,-091 51.942,30 05.420,-091 51.946,30 05.466, , , , , , , , , , ,0,AAA, 
214,19,5,18,9,43,-091 51.947,30 05.466,-091 51.949,30 05.516, , , , , , , , , , ,0,AAA, 
215,19,5,18,9,48,-091 51.949,30 05.516,-091 51.954,30 05.565, , , , , , , , , , ,0,AAA, 
216,19,5,18,9,53,-091 51.954,30 05.563,-091 51.943,30 05.608, , , , , , , , , , ,0,AAA, 
217,19,5,18,9,56,-091 51.943,30 05.608,-091 52.009,30 05.630, , , , , , , , , , ,0,AAA, 
218,19,5,18,9,57,-091 52.009,30 05.629,-091 52.060,30 05.649, , , , , , , , , , ,0,AAA, 
219,19,5,18,10,0,-091 52.060,30 05.649,-091 52.114,30 05.671, , , , , , , , , , ,0,AAA, 
220,19,5,18,10,5,-091 52.174,30 05.693,-091 52.226,30 05.714, , , , , , , , , , ,0,AAA, 
221,19,5,18,10,26,-091 52.293,30 05.799,-091 52.258,30 05.762, , , , , , , , , , ,0,AAA, 
